Dataset,Instance,Nodes,Edges,Lower Bound (LB),Memetic Cost (UB),Relative Gap,Clusters,Time (s)
Correlation,corr40-1.txt,40,780,-4343.0,-1174.0,0.7297,6,13.75
Correlation,corr40-10.txt,40,780,-4301.0,-1149.0,0.7329,7,13.44
Correlation,corr40-2.txt,40,780,-4304.0,-1287.0,0.701,5,12.42
Correlation,corr40-3.txt,40,780,-4335.0,-1197.0,0.7239,6,12.27
Correlation,corr40-4.txt,40,780,-4595.0,-1307.0,0.7156,5,11.56
Correlation,corr40-5.txt,40,780,-4477.0,-1232.0,0.7248,6,11.19
Correlation,corr40-6.txt,40,780,-4024.0,-1055.0,0.7378,7,10.83
Correlation,corr40-7.txt,40,780,-4329.0,-1186.0,0.726,6,10.96
Correlation,corr40-8.txt,40,780,-4369.0,-1203.0,0.7247,6,11.49
Correlation,corr40-9.txt,40,780,-4459.0,-1305.0,0.7073,5,10.24
Correlation,corr60-1.txt,60,1770,-8007.0,-1780.0,0.7777,6,65.31
Correlation,corr60-10.txt,60,1770,-8239.0,-1770.0,0.7852,6,76.4
Correlation,corr60-2.txt,60,1770,-7923.0,-1707.0,0.7846,7,76.37
Correlation,corr60-3.txt,60,1770,-8836.0,-1887.0,0.7864,5,72.05
Correlation,corr60-4.txt,60,1770,-8487.0,-1812.0,0.7865,7,87.86
Correlation,corr60-5.txt,60,1770,-9019.0,-2076.0,0.7698,4,67.15
Correlation,corr60-6.txt,60,1770,-8375.0,-1876.0,0.776,6,65.63
Correlation,corr60-7.txt,60,1770,-8824.0,-1916.0,0.7829,6,72.92
Correlation,corr60-8.txt,60,1770,-8679.0,-1911.0,0.7798,6,66.02
Correlation,corr60-9.txt,60,1770,-8086.0,-1814.0,0.7757,7,66.21
Correlation,corr80-1.txt,80,3160,-13259.0,-2517.0,0.8102,7,237.33
Correlation,corr80-10.txt,80,3160,-12375.0,-2258.0,0.8175,8,244.29
Correlation,corr80-2.txt,80,3160,-12775.0,-2402.0,0.812,7,249.7
Correlation,corr80-3.txt,80,3160,-13362.0,-2493.0,0.8134,7,266.29
Correlation,corr80-4.txt,80,3160,-13374.0,-2569.0,0.8079,6,271.98
Correlation,corr80-5.txt,80,3160,-12990.0,-2279.0,0.8246,7,262.79
Correlation,corr80-6.txt,80,3160,-13422.0,-2522.0,0.8121,6,270.91
Correlation,corr80-7.txt,80,3160,-13600.0,-2520.0,0.8147,7,277.66
Correlation,corr80-8.txt,80,3160,-12311.0,-2286.0,0.8143,10,297.29
Correlation,corr80-9.txt,80,3160,-13492.0,-2574.0,0.8092,7,275.61
ClusEdit,ce50-20.txt,ERROR,ERROR,-,-,-,-,-
ClusEdit,ce50-30.txt,ERROR,ERROR,-,-,-,-,-
ClusEdit,ce50-40.txt,50,1225,-675.0,-253.0,0.6252,2,30.7
ClusEdit,ce50-50.txt,50,1225,-535.0,-156.0,0.7084,5,32.69
ClusEdit,ce50-60.txt,50,1225,-392.0,-98.0,0.75,7,23.9
ClusEdit,ce60-20.txt,ERROR,ERROR,-,-,-,-,-
ClusEdit,ce60-30.txt,ERROR,ERROR,-,-,-,-,-
ClusEdit,ce60-40.txt,60,1770,-983.0,-369.0,0.6246,3,84.7
ClusEdit,ce60-50.txt,60,1770,-785.0,-222.0,0.7172,4,59.63
ClusEdit,ce60-60.txt,60,1770,-582.0,-137.0,0.7646,7,49.0
ClusEdit,ce70-20.txt,ERROR,ERROR,-,-,-,-,-
ClusEdit,ce70-30.txt,ERROR,ERROR,-,-,-,-,-
ClusEdit,ce70-40.txt,70,2415,-1347.0,-491.0,0.6355,2,166.42
ClusEdit,ce70-50.txt,70,2415,-1079.0,-255.0,0.7637,5,127.23
ClusEdit,ce70-60.txt,70,2415,-798.0,-178.0,0.7769,8,101.76
ClusEdit,ce80-20.txt,ERROR,ERROR,-,-,-,-,-
ClusEdit,ce80-30.txt,ERROR,ERROR,-,-,-,-,-
ClusEdit,ce80-40.txt,80,3160,-1782.0,-643.0,0.6392,2,225.39
ClusEdit,ce80-50.txt,80,3160,-1439.0,-312.0,0.7832,5,244.87
ClusEdit,ce80-60.txt,80,3160,-1069.0,-219.0,0.7951,8,175.62
